propaganda;Vendas;Projecao;Atracao do album
10256;330;43;10
985685;120;28;7
1445563;360;35;7
1188193;270;33;7
574513;220;44;5
568954;170;19;5
471814;70;20;1
537352;210;22;9
514068;200;21;7
174093;300;40;7
1720806;290;32;7
611479;70;20;2
251192;150;24;8
97972;190;38;6
406814;240;24;7
265398;100;25;5
1323287;250;35;5
196,65;210;36;8
1326598;280;27;8
1380689;230;33;8
792345;210;33;7
957167;230;28;6
1789659;320;30;9
656137;210;34;7
613697;230;49;7
313362;250;40;8
336,51;60;20;4
1544899;330;42;7
68954;150;35;8
785692;150;8;6
125628;180;49;7
377925;80;19;8
217994;180;42;6
759862;130;6;7
1163444;320;36;6
842957;280;32;7
125179;200;28;6
236598;130;25;8
669811;190;34;8
612234;150;21;6
922019;230;34;7
50;310;63;7
2000;340;31;7
1054027;240;25;7
385045;180;42;7
1507972;220;37;7
102568;40;25;8
204568;190;26;7
1170918;290;39;7
689547;340;46;7
784,22;250;36;6
405913;190;12;4
179778;120;2;8
607258;230;29;8
1542329;190;33;8
1112,47;210;28;7
856985;170;10;6
836331;310;38;7
236908;90;19;4
1077855;140;13;6
579321;300;30;7
1500;340;38;8
731364;170;22;8
25689;100;23;6
391749;200;22;9
233999;80;20;7
275,7;100;18;6
56895;70;37;7
255117;50;16;8
566501;240;32;8
102568;160;26;5
250568;290;53;9
68594;140;28;7
642786;210;32;7
1500;300;24;7
102563;230;37;6
756984;280;30;8
51229;160;19;7
644151;200;47;6
15313;110;22;5
243237;110;10;8
256894;70;1;4
22464;100;1;6
45689;190;39;6
724938;70;8;5
1126461;360;38;7
1985119;360;35;5
1837516;300;40;5
135986;120;22;7
237703;150;27;8
976641;220;31;6
1452689;280;19;7
1600;300;24;9
268598;140;1;7
900889;290;38;8
982063;180;26;6
201356;140;11;6
746024;210;34;6
1132877;250;55;7
1000;250;5;7
75896;120;34;6
1351254;290;37;9
202705;60;13;8
365985;140;23;6
305268;290;54;6
263268;160;18;7
513694;100;2;7
152609;160;11;6
35987;150;30;8
102568;140;22;7
215368;230;36;6
426784;230;37;8
507772;30;9;3
233291;80;2;7
1035433;190;12;8
102642;90;5;9
526142;120;14;7
624538;150;20;5
912349;230;57;6
215994;150;19;8
561963;210;35;7
474,76;180;22;5
231523;140;16;7
678596;360;53;7
70922;10;4;6
1567548;240;29;6
263598;270;43;7
1423568;290;26;7
715678;220;28;7
777237;230;37;8
509,43;220;32;5
964,11;240;34;7
583627;260;30;7
923373;170;15;7
344392;130;23;7
1095578;270;31;8
100025;140;21;5
30425;60;28;1
1080342;210;18;7
799899;210;28;7
1071752;240;37;8
893355;210;26;6
283161;200;30;8
917017;140;10;7
234568;90;21;7
456897;120;18;9
206973;100;14;7
1294099;360;38;7
826859;180;36;6
564158;150;32;7
192607;110;9;5
10652;90;39;5
45689;160;24;7
42568;230;45;7
20456;40;13;8
635192;60;17;6
1002273;230;32;7
1177047;230;23;6
507638;120;0;6
215689;150;35;5
526,48;120;26;6
26895;60;19;6
883877;280;26;7
9104;120;53;8
103568;230;29;8
169583;230;28;7
429504;40;17;6
223639;140;26;8
145585;360;42;8
985968;210;17;6
500922;260;36;8
226652;250;45;7
1051168;200;20;7
68093;150;15;7
1547159;250;28;8
393774;100;27;6
804282;260;17;8
801577;210;32;8
450562;290;46;9
26598;220;47;8
179061;70;19;1
345687;110;22;8
295,84;250;55;9
2271,86;320;31;5
1134575;300;39;8
601434;180;21;6
45298;180;36;6
759518;200;21;7
832869;320;44;7
56894;140;27;7
709399;100;16;6
56895;120;33;6
767134;230;33;8
503172;150;21;7
700929;250;35;9
910851;190;26;7
888569;240;14;6
800615;250;34;6
1500;230;11;8
785694;110;20;9
